"","Common Name","Scientific Name","order","family","IUCN Category","SoIB 2023 Priority Status"
"1","Purple Sunbird","Cinnyris asiaticus","Passeriformes","Nectariniidae","Least Concern","Low"
"2","Purple-rumped Sunbird","Leptocoma zeylonica","Passeriformes","Nectariniidae","Least Concern","Low"
"3","Pale-billed Flowerpecker","Dicaeum erythrorhynchos","Passeriformes","Dicaeidae","Least Concern","Low"
"4","Oriental Magpie-Robin","Copsychus saularis","Passeriformes","Muscicapidae","Least Concern","Low"
"5","Common Myna","Acridotheres tristis","Passeriformes","Sturnidae","Least Concern","Low"
"6","Common Tailorbird","Orthotomus sutorius","Passeriformes","Cisticolidae","Least Concern","Low"
"7","House Crow","Corvus splendens","Passeriformes","Corvidae","Least Concern","Low"
"8","Black Kite","Milvus migrans","Accipitriformes","Accipitridae","Least Concern","Low"
"9","Asian Koel","Eudynamys scolopaceus","Cuculiformes","Cuculidae","Least Concern","Low"
"10","Rock Pigeon","Columba livia","Columbiformes","Columbidae","Least Concern","Low"
"11","Jungle Myna","Acridotheres fuscus","Passeriformes","Sturnidae","Least Concern","Low"
"12","Large-billed Crow","Corvus macrorhynchos","Passeriformes","Corvidae","Least Concern","Low"
"13","Rose-ringed Parakeet","Psittacula krameri","Psittaciformes","Psittaculidae","Least Concern","Low"
"14","Indian Gray Hornbill","Ocyceros birostris","Bucerotiformes","Bucerotidae","Least Concern","Low"
"15","Shikra","Tachyspiza badia","Accipitriformes","Accipitridae","Least Concern","Low"
"16","Eastern Cattle-Egret","Ardea coromanda","Pelecaniformes","Ardeidae","Least Concern","Low"
"17","Spotted Dove","Spilopelia chinensis","Columbiformes","Columbidae","Least Concern","Low"
"18","Little Swift","Apus affinis","Apodiformes","Apodidae","Least Concern","Low"
"19","Gray Francolin","Ortygornis pondicerianus","Galliformes","Phasianidae","Least Concern","Low"
"20","Red-vented Bulbul","Pycnonotus cafer","Passeriformes","Pycnonotidae","Least Concern","Low"
"21","Red-whiskered Bulbul","Pycnonotus jocosus","Passeriformes","Pycnonotidae","Least Concern","Low"
"22","Indian Pond-Heron","Ardeola grayii","Pelecaniformes","Ardeidae","Least Concern","Low"
"23","Asian Palm Swift","Cypsiurus balasiensis","Apodiformes","Apodidae","Least Concern","Low"
"24","White-throated Kingfisher","Halcyon smyrnensis","Coraciiformes","Alcedinidae","Least Concern","Low"
"25","Eastern Red-rumped Swallow","Cecropis daurica","Passeriformes","Hirundinidae","Least Concern","Low"
"26","White-cheeked Barbet","Psilopogon viridis","Piciformes","Megalaimidae","Least Concern","Low"
"27","Brahminy Kite","Haliastur indus","Accipitriformes","Accipitridae","Least Concern","Low"
"28","Pied Bushchat","Saxicola caprata","Passeriformes","Muscicapidae","Least Concern","Low"
"29","Rosy Starling","Pastor roseus","Passeriformes","Sturnidae","Least Concern","Moderate"
"30","Asian Tit","Parus cinereus","Passeriformes","Paridae","Least Concern","Low"
"31","Small Minivet","Pericrocotus cinnamomeus","Passeriformes","Campephagidae","Least Concern","Low"
"32","Greater Coucal","Centropus sinensis","Cuculiformes","Cuculidae","Least Concern","Low"
"33","Ashy Prinia","Prinia socialis","Passeriformes","Cisticolidae","Least Concern","Low"
"34","Coppersmith Barbet","Psilopogon haemacephalus","Piciformes","Megalaimidae","Least Concern","Low"
"35","Red-wattled Lapwing","Vanellus indicus","Charadriiformes","Charadriidae","Least Concern","Low"
"36","White-naped Woodpecker","Chrysocolaptes festivus","Piciformes","Picidae","Least Concern","Moderate"
"37","Indian Robin","Copsychus fulicatus","Passeriformes","Muscicapidae","Least Concern","Low"
"38","Ashy Drongo","Dicrurus leucophaeus","Passeriformes","Dicruridae","Least Concern","Low"
"39","Black-crowned Night Heron","Nycticorax nycticorax","Pelecaniformes","Ardeidae","Least Concern","Low"
"40","Laughing Dove","Spilopelia senegalensis","Columbiformes","Columbidae","Least Concern","Low"
"41","Blue-tailed Bee-eater","Merops philippinus","Coraciiformes","Meropidae","Least Concern","Low"
"42","Asian Openbill","Anastomus oscitans","Ciconiiformes","Ciconiidae","Least Concern","Low"
"43","Common Hawk-Cuckoo","Hierococcyx varius","Cuculiformes","Cuculidae","Least Concern","Low"
"44","Taiga Flycatcher","Ficedula albicilla","Passeriformes","Muscicapidae","Least Concern","Not Assessed"
"45","Black Drongo","Dicrurus macrocercus","Passeriformes","Dicruridae","Least Concern","Low"
"46","Wire-tailed Swallow","Hirundo smithii","Passeriformes","Hirundinidae","Least Concern","Low"
"47","Barn Swallow","Hirundo rustica","Passeriformes","Hirundinidae","Least Concern","Moderate"
"48","Indian Golden Oriole","Oriolus kundoo","Passeriformes","Oriolidae","Least Concern","Low"
"49","Little Egret","Egretta garzetta","Pelecaniformes","Ardeidae","Least Concern","Low"
"50","Spot-breasted Fantail","Rhipidura albogularis","Passeriformes","Rhipiduridae","Least Concern","Low"
"51","Eurasian Hoopoe","Upupa epops","Bucerotiformes","Upupidae","Least Concern","Moderate"
"52","Blyth's Reed Warbler","Acrocephalus dumetorum","Passeriformes","Acrocephalidae","Least Concern","Low"
"53","Common Iora","Aegithina tiphia","Passeriformes","Aegithinidae","Least Concern","Low"
"54","Red-naped Ibis","Pseudibis papillosa","Pelecaniformes","Threskiornithidae","Least Concern","Low"
"55","Medium Egret","Ardea intermedia","Pelecaniformes","Ardeidae","Least Concern","Low"
"56","Black-naped Oriole","Oriolus chinensis","Passeriformes","Oriolidae","Least Concern","Low"
"57","Red-breasted Flycatcher","Ficedula parva","Passeriformes","Muscicapidae","Least Concern","Low"
"58","Oriental Honey-buzzard","Pernis ptilorhynchus","Accipitriformes","Accipitridae","Least Concern","Low"
"59","Black-headed Ibis","Threskiornis melanocephalus","Pelecaniformes","Threskiornithidae","Near Threatened","Low"
"60","Eurasian Collared-Dove","Streptopelia decaocto","Columbiformes","Columbidae","Least Concern","Low"
"61","Black-headed Cuckooshrike","Lalage melanoptera","Passeriformes","Campephagidae","Least Concern","Low"
"62","Asian Brown Flycatcher","Muscicapa dauurica","Passeriformes","Muscicapidae","Least Concern","Low"
"63","Painted Stork","Mycteria leucocephala","Ciconiiformes","Ciconiidae","Near Threatened","Low"
"64","Yellow-billed Babbler","Argya affinis","Passeriformes","Leiothrichidae","Least Concern","Low"
"65","Gray-bellied Cuckoo","Cacomantis passerinus","Cuculiformes","Cuculidae","Least Concern","Low"
"66","Booted Eagle","Hieraaetus pennatus","Accipitriformes","Accipitridae","Least Concern","Low"
"67","Asian Green Bee-eater","Merops orientalis","Coraciiformes","Meropidae","Least Concern","Low"
"68","Little Cormorant","Microcarbo niger","Suliformes","Phalacrocoracidae","Least Concern","Low"
"69","Chestnut-tailed Starling","Sturnia malabarica","Passeriformes","Sturnidae","Least Concern","Low"
"70","Spot-billed Pelican","Pelecanus philippensis","Pelecaniformes","Pelecanidae","Near Threatened","Moderate"
"71","Oriental Skylark","Alauda gulgula","Passeriformes","Alaudidae","Least Concern","High"
"72","Black-rumped Flameback","Dinopium benghalense","Piciformes","Picidae","Least Concern","Low"
"73","Indian Peafowl","Pavo cristatus","Galliformes","Phasianidae","Least Concern","Low"
"74","Great Cormorant","Phalacrocorax carbo","Suliformes","Phalacrocoracidae","Least Concern","Low"
"75","White-breasted Waterhen","Amaurornis phoenicurus","Gruiformes","Rallidae","Least Concern","Low"
"76","Indian Spot-billed Duck","Anas poecilorhyncha","Anseriformes","Anatidae","Least Concern","Low"
"77","Scaly-breasted Munia","Lonchura punctulata","Passeriformes","Estrildidae","Least Concern","Low"
